version,size_test,size_training,succHe_RF,succZi_RF,succG75_RF,succG60_RF,error_RF,recall_RF,precision_RF,fscore_RF,gscore_RF,mcc_RF,auc_RF,aucec_RF,tpr_RF,tnr_RF,tp_RF,fn_RF,tn_RF,fp_RF,trainerror_RF,trainrecall_RF,trainprecision_RF,trainsuccHe_RF
CM1,344,952,0,0,0,0,0.49127906976744184,0.6904761904761905,0.15675675675675677,0.25550660792951546,0.568703828072532,0.11420706349931752,0.586959949542731,0.0,0.6904761904761905,0.48344370860927155,29.0,13.0,146.0,156.0,0.0010504201680672268,0.9978991596638656,1.0,1
JM1,9593,2310,0,0,0,0,0.42645679141040344,0.5992040932347925,0.23738738738738738,0.3400548475560574,0.5830697314382354,0.12959315434153842,0.5806127007491869,0.0,0.5992040932347925,0.5677814654071994,1054.0,705.0,4448.0,3386.0,0.003463203463203463,0.9948051948051948,0.998262380538662,1
KC1,2096,1578,0,0,0,1,0.30438931297709926,0.5846153846153846,0.2741702741702742,0.37328094302554027,0.6436634205639937,0.23127960832652492,0.640315336837076,0.0,0.5846153846153846,0.7159796725014116,190.0,135.0,1268.0,503.0,0.010773130544993664,0.9860583016476553,0.9923469387755102,1
KC3,200,426,0,0,0,0,0.455,0.5277777777777778,0.20430107526881722,0.29457364341085274,0.538074260541221,0.05897010448633593,0.5382791327913279,0.0,0.5277777777777778,0.5487804878048781,19.0,17.0,90.0,74.0,0.002347417840375587,0.9953051643192489,1.0,1
MC1,9277,1956,0,0,0,1,0.20965829470734074,0.6617647058823529,0.022877478393492627,0.044226044226044224,0.7207548787202406,0.09454782696416769,0.7247282070608676,0.0,0.6617647058823529,0.7912911282441091,45.0,23.0,7287.0,1922.0,0.0035787321063394683,0.9938650306748467,0.998972250770812,1
MC2,127,400,0,0,0,0,0.4094488188976378,0.45454545454545453,0.4166666666666667,0.43478260869565216,0.5392156862745098,0.115012281926221,0.5585980284775466,0.0,0.45454545454545453,0.6626506024096386,20.0,24.0,55.0,28.0,0.0,1.0,1.0,1
MW1,264,666,0,0,0,0,0.4356060606060606,0.5925925925925926,0.13333333333333333,0.217687074829932,0.5764594338344846,0.09357658119646722,0.5768870135958744,0.0,0.5925925925925926,0.5611814345991561,16.0,11.0,133.0,104.0,0.0,1.0,1.0,1
PC1,759,1496,0,0,0,0,0.39789196310935443,0.5737704918032787,0.11254019292604502,0.1881720430107527,0.5887746153232879,0.0985958788428017,0.5885668655174033,0.0,0.5737704918032787,0.6045845272206304,35.0,26.0,422.0,276.0,0.002005347593582888,0.9973262032085561,0.998661311914324,1
PC2,1585,194,0,0,0,0,0.3936908517350158,0.375,0.00967741935483871,0.018867924528301886,0.4640803434032558,-0.0033454372800381044,0.49183397068196305,0.0,0.375,0.6086679413639261,6.0,10.0,955.0,614.0,0.0,1.0,1.0,1
PC3,1125,1792,0,0,0,0,0.41333333333333333,0.4357142857142857,0.13646532438478748,0.20783645655877342,0.5076800166730349,0.02956960775652097,0.5221392313270485,0.0,0.4357142857142857,0.6081218274111675,61.0,79.0,599.0,386.0,0.0016741071428571428,0.9977678571428571,0.9988826815642458,1
PC4,1399,1518,0,0,0,0,0.41815582558970693,0.37640449438202245,0.12384473197781885,0.1863699582753825,0.4660641700772443,-0.008075645752154383,0.49456146647157884,0.0,0.37640449438202245,0.6117936117936118,67.0,111.0,747.0,474.0,0.00461133069828722,0.9934123847167325,0.9973544973544973,1
PC5,17001,2001,0,0,0,1,0.05846714899123581,0.4592445328031809,0.24239244491080797,0.31730769230769235,0.6204907968983768,0.3060515506379904,0.70890820671799,0.0,0.4592445328031809,0.9562371196508668,231.0,272.0,15776.0,722.0,0.001999000499750125,0.998001998001998,0.998001998001998,1
