version,size_test,size_training,succHe_RF,succZi_RF,succG75_RF,succG60_RF,error_RF,recall_RF,precision_RF,fscore_RF,gscore_RF,mcc_RF,auc_RF,aucec_RF,tpr_RF,tnr_RF,tp_RF,fn_RF,tn_RF,fp_RF,trainerror_RF,trainrecall_RF,trainprecision_RF,trainsuccHe_RF,succHe_RFLocalEM,succZi_RFLocalEM,succG75_RFLocalEM,succG60_RFLocalEM,error_RFLocalEM,recall_RFLocalEM,precision_RFLocalEM,fscore_RFLocalEM,gscore_RFLocalEM,mcc_RFLocalEM,auc_RFLocalEM,aucec_RFLocalEM,tpr_RFLocalEM,tnr_RFLocalEM,tp_RFLocalEM,fn_RFLocalEM,tn_RFLocalEM,fp_RFLocalEM,trainerror_RFLocalEM,trainrecall_RFLocalEM,trainprecision_RFLocalEM,trainsuccHe_RFLocalEM,succHe_RFLocalFQ,succZi_RFLocalFQ,succG75_RFLocalFQ,succG60_RFLocalFQ,error_RFLocalFQ,recall_RFLocalFQ,precision_RFLocalFQ,fscore_RFLocalFQ,gscore_RFLocalFQ,mcc_RFLocalFQ,auc_RFLocalFQ,aucec_RFLocalFQ,tpr_RFLocalFQ,tnr_RFLocalFQ,tp_RFLocalFQ,fn_RFLocalFQ,tn_RFLocalFQ,fp_RFLocalFQ,trainerror_RFLocalFQ,trainrecall_RFLocalFQ,trainprecision_RFLocalFQ,trainsuccHe_RFLocalFQ
CM1,344,6314,0,0,0,0,0.6598837209302325,0.7380952380952381,0.12550607287449392,0.21453287197231832,0.41097579774934495,0.01663548769706444,0.5101308735414696,0.0,0.7380952380952381,0.2847682119205298,31.0,11.0,86.0,216.0,0.011086474501108648,0.9841621792841305,0.9936040933802367,1,0,0,0,0,0.6540697674418605,0.8095238095238095,0.13545816733067728,0.23208191126279862,0.4176904176904177,0.06706552939472232,0.5454903815830968,0.0,0.8095238095238095,0.2814569536423841,34.0,8.0,85.0,217.0,0.011086474501108648,0.9841621792841305,0.9936040933802367,1,0,0,0,0,0.6162790697674418,0.7380952380952381,0.1336206896551724,0.22627737226277372,0.46030579241399594,0.050676511018123795,0.5362661620939767,0.0,0.7380952380952381,0.3344370860927152,31.0,11.0,101.0,201.0,0.011403230915426037,0.9835286664554957,0.9936,1
JM1,9593,2880,0,0,0,0,0.5789638277910977,0.8004548038658329,0.2129783693843594,0.33643966547192355,0.4731639349884448,0.11395373872726813,0.5768493497027505,0.0,0.8004548038658329,0.33584375797804444,1408.0,351.0,2631.0,5203.0,0.007291666666666667,0.9888888888888889,0.9965010496850945,1,0,0,0,0,0.6113833003231522,0.8237635019897669,0.20688178183894917,0.3307086614173228,0.4299768486494373,0.09996639520500002,0.5573374568922539,0.0,0.8237635019897669,0.2909114117947409,1449.0,310.0,2279.0,5555.0,0.007291666666666667,0.9888888888888889,0.9965010496850945,1,0,0,0,0,0.5535286146148233,0.7657760090960773,0.2156925540432346,0.3365817091454273,0.5032559381279498,0.11410501037438033,0.5702763119261341,0.0,0.7657760090960773,0.37477661475619095,1347.0,412.0,2936.0,4898.0,0.00798611111111111,0.9875,0.9964961457603364,1
KC1,2096,5676,0,0,0,1,0.39646946564885494,0.6953846153846154,0.2359081419624217,0.35229929851909586,0.6364204298292094,0.20494472562774663,0.6232350258437215,0.0,0.6953846153846154,0.5866741953698476,226.0,99.0,1039.0,732.0,0.00828047921071177,0.9897815362931642,0.9936328263176513,1,0,0,0,1,0.39408396946564883,0.7107692307692308,0.2398753894080997,0.358695652173913,0.642787127599173,0.21603655215491516,0.6487217130695392,0.0,0.7107692307692308,0.5866741953698476,231.0,94.0,1039.0,732.0,0.00828047921071177,0.9897815362931642,0.9936328263176513,1,0,0,0,1,0.3845419847328244,0.6861538461538461,0.2405609492988134,0.3562300319488818,0.6416028949397875,0.21035741428138624,0.6443191591017678,0.0,0.6861538461538461,0.6024844720496895,223.0,102.0,1067.0,704.0,0.00828047921071177,0.9897815362931642,0.9936328263176513,1
KC3,200,5676,0,0,0,0,0.48,0.75,0.23684210526315788,0.36,0.5775,0.17034530799927927,0.6097560975609756,0.0,0.75,0.4695121951219512,27.0,9.0,77.0,87.0,0.00828047921071177,0.9897815362931642,0.9936328263176513,1,0,0,0,1,0.44,0.7222222222222222,0.25,0.37142857142857144,0.6076086956521739,0.18964260591046805,0.6233062330623306,0.0,0.7222222222222222,0.524390243902439,26.0,10.0,86.0,78.0,0.00828047921071177,0.9897815362931642,0.9936328263176513,1,0,0,0,0,0.53,0.7777777777777778,0.2222222222222222,0.345679012345679,0.5304247990815155,0.14340599962303655,0.5901084010840109,0.0,0.7777777777777778,0.4024390243902439,28.0,8.0,66.0,98.0,0.00828047921071177,0.9897815362931642,0.9936328263176513,1
MC1,9277,6174,0,0,1,1,0.23466637921741942,0.75,0.023066485753052916,0.04475647213690214,0.7576446984217974,0.1031961252839827,0.7566239548267999,0.0,0.75,0.7654468454772505,51.0,17.0,7049.0,2160.0,0.01198574667962423,0.9812115322319404,0.9947454844006568,1,0,0,0,1,0.2760590708203083,0.5294117647058824,0.014035087719298246,0.027345233573870108,0.612092180349316,0.04859279736420001,0.6273945564760816,0.0,0.5294117647058824,0.7253773482462809,36.0,32.0,6680.0,2529.0,0.01198574667962423,0.9812115322319404,0.9947454844006568,1,0,0,1,1,0.24727821494017463,0.7647058823529411,0.022317596566523604,0.043369474562135114,0.7586215606371872,0.10175586484309185,0.7586695879350763,0.0,0.7647058823529411,0.7526332935172114,52.0,16.0,6931.0,2278.0,0.012309685779073534,0.9802397149335925,0.9950674120355146,1
MC2,127,6174,0,0,0,0,0.5118110236220472,0.6363636363636364,0.36363636363636365,0.4628099173553719,0.4984293193717277,0.04480366409391276,0.523001095290252,0.0,0.6363636363636364,0.40963855421686746,28.0,16.0,34.0,49.0,0.01198574667962423,0.9812115322319404,0.9947454844006568,1,0,0,0,0,0.5196850393700787,0.6136363636363636,0.35526315789473684,0.45,0.4913031843724913,0.022592362984035923,0.5116374589266156,0.0,0.6136363636363636,0.40963855421686746,27.0,17.0,34.0,49.0,0.01198574667962423,0.9812115322319404,0.9947454844006568,1,0,0,0,0,0.5039370078740157,0.7272727272727273,0.38095238095238093,0.5,0.4935323383084577,0.10132312211161162,0.5503833515881709,0.0,0.7272727272727273,0.37349397590361444,32.0,12.0,31.0,52.0,0.012633624878522837,0.9805636540330418,0.994088669950739,1
MW1,264,6344,0,0,0,0,0.5454545454545454,0.6296296296296297,0.11258278145695365,0.19101123595505617,0.51424375917768,0.03933309050374943,0.5313330207844976,0.0,0.6296296296296297,0.4345991561181435,17.0,10.0,103.0,134.0,0.01008827238335435,0.9845523329129886,0.9952198852772467,1,0,0,0,0,0.5227272727272727,0.7037037037037037,0.12751677852348994,0.2159090909090909,0.5500541125541125,0.09483117660176092,0.5775902484763245,0.0,0.7037037037037037,0.45147679324894513,19.0,8.0,107.0,130.0,0.01008827238335435,0.9845523329129886,0.9952198852772467,1,0,0,0,0,0.6136363636363636,0.7777777777777778,0.11864406779661017,0.2058823529411765,0.47487437185929654,0.07706534386680497,0.559774964838256,0.0,0.7777777777777778,0.34177215189873417,21.0,6.0,81.0,156.0,0.01008827238335435,0.9845523329129886,0.9952198852772467,1
PC1,759,4602,0,0,0,0,0.5006587615283268,0.639344262295082,0.0982367758186398,0.1703056768558952,0.5529377423793838,0.0688276408351974,0.5627084409789093,0.0,0.639344262295082,0.4871060171919771,39.0,22.0,340.0,358.0,0.012385919165580182,0.9813124728378966,0.9938380281690141,1,0,0,0,0,0.45322793148880103,0.5573770491803278,0.09686609686609686,0.1650485436893204,0.5515508909373469,0.05628369627955365,0.5516111606933158,0.0,0.5573770491803278,0.5458452722063037,34.0,27.0,381.0,317.0,0.012385919165580182,0.9813124728378966,0.9938380281690141,1,0,0,0,0,0.4927536231884058,0.6885245901639344,0.10579345088161209,0.18340611353711792,0.5734986763271561,0.09793621033403553,0.5899643008126262,0.0,0.6885245901639344,0.49140401146131807,42.0,19.0,343.0,355.0,0.24033029117774882,0.7548891786179922,0.7621763931548925,1
PC2,1585,4602,0,0,0,0,0.16025236593059936,0.25,0.016260162601626018,0.030534351145038174,0.3859240948087829,0.026436573105140936,0.5476418100701084,0.0,0.25,0.8457616316124921,4.0,12.0,1327.0,242.0,0.012385919165580182,0.9813124728378966,0.9938380281690141,1,0,0,0,0,0.36782334384858045,0.3125,0.008665511265164644,0.016863406408094434,0.4189603731562802,-0.010816480005798903,0.4739682919056724,0.0,0.3125,0.6354365838113448,5.0,11.0,997.0,572.0,0.012385919165580182,0.9813124728378966,0.9938380281690141,1,0,0,0,0,0.15520504731861198,0.25,0.01680672268907563,0.031496062992125984,0.3864524533217542,0.02822409087844859,0.5504302103250478,0.0,0.25,0.8508604206500956,4.0,12.0,1335.0,234.0,0.24033029117774882,0.7548891786179922,0.7621763931548925,1
PC3,1125,4602,0,0,0,0,0.42577777777777776,0.6071428571428571,0.16699410609037327,0.2619414483821263,0.5877422734415925,0.1171750197461283,0.5881435823060188,0.0,0.6071428571428571,0.5695431472081218,85.0,55.0,561.0,424.0,0.012385919165580182,0.9813124728378966,0.9938380281690141,1,0,0,0,0,0.43377777777777776,0.45,0.13291139240506328,0.2052117263843648,0.5078397640697961,0.021887489786829403,0.5163705583756345,0.0,0.45,0.582741116751269,63.0,77.0,574.0,411.0,0.012385919165580182,0.9813124728378966,0.9938380281690141,1,0,0,0,0,0.584,0.6785714285714286,0.13437057991513437,0.22432113341204252,0.4860934874309819,0.03910858955469251,0.5286258158085569,0.0,0.6785714285714286,0.3786802030456853,95.0,45.0,373.0,612.0,0.46088657105606257,0.8161668839634941,0.5251677852348994,1
