version,size_test,size_training,succHe_SMORBF,succZi_SMORBF,succG75_SMORBF,succG60_SMORBF,error_SMORBF,recall_SMORBF,precision_SMORBF,fscore_SMORBF,gscore_SMORBF,mcc_SMORBF,auc_SMORBF,aucec_SMORBF,tpr_SMORBF,tnr_SMORBF,tp_SMORBF,fn_SMORBF,tn_SMORBF,fp_SMORBF,trainerror_SMORBF,trainrecall_SMORBF,trainprecision_SMORBF,trainsuccHe_SMORBF,succHe_SMORBFLocalEM,succZi_SMORBFLocalEM,succG75_SMORBFLocalEM,succG60_SMORBFLocalEM,error_SMORBFLocalEM,recall_SMORBFLocalEM,precision_SMORBFLocalEM,fscore_SMORBFLocalEM,gscore_SMORBFLocalEM,mcc_SMORBFLocalEM,auc_SMORBFLocalEM,aucec_SMORBFLocalEM,tpr_SMORBFLocalEM,tnr_SMORBFLocalEM,tp_SMORBFLocalEM,fn_SMORBFLocalEM,tn_SMORBFLocalEM,fp_SMORBFLocalEM,trainerror_SMORBFLocalEM,trainrecall_SMORBFLocalEM,trainprecision_SMORBFLocalEM,trainsuccHe_SMORBFLocalEM,succHe_SMORBFLocalFQ,succZi_SMORBFLocalFQ,succG75_SMORBFLocalFQ,succG60_SMORBFLocalFQ,error_SMORBFLocalFQ,recall_SMORBFLocalFQ,precision_SMORBFLocalFQ,fscore_SMORBFLocalFQ,gscore_SMORBFLocalFQ,mcc_SMORBFLocalFQ,auc_SMORBFLocalFQ,aucec_SMORBFLocalFQ,tpr_SMORBFLocalFQ,tnr_SMORBFLocalFQ,tp_SMORBFLocalFQ,fn_SMORBFLocalFQ,tn_SMORBFLocalFQ,fp_SMORBFLocalFQ,trainerror_SMORBFLocalFQ,trainrecall_SMORBFLocalFQ,trainprecision_SMORBFLocalFQ,trainsuccHe_SMORBFLocalFQ
MW1,264,1403,0,0,0,0,0.8977272727272727,1.0,0.10227272727272728,0.18556701030927836,0.0,NaN,0.5,0.0,1.0,0.0,27.0,0.0,0.0,237.0,0.43763364219529577,1.0,0.5623663578047042,1,0,0,0,1,0.48484848484848486,0.8518518518518519,0.1564625850340136,0.2643678160919541,0.6113855563396847,0.20046179707785908,0.6643225503984997,0.0,0.8518518518518519,0.4767932489451477,23.0,4.0,113.0,124.0,0.40555951532430506,0.6577946768060836,0.6344743276283619,0,0,0,0,0,0.6704545454545454,0.8148148148148148,0.1134020618556701,0.1990950226244344,0.41038886497345384,0.06114612159567088,0.5445382090951711,0.0,0.8148148148148148,0.2742616033755274,22.0,5.0,65.0,172.0,0.4269422665716322,0.752851711026616,0.5951903807615231,1
CM1,344,1540,0,0,0,0,0.877906976744186,1.0,0.12209302325581395,0.21761658031088082,0.0,NaN,0.5,0.0,1.0,0.0,42.0,0.0,0.0,302.0,0.39025974025974025,1.0,0.6097402597402597,1,0,0,0,0,0.7005813953488372,0.9523809523809523,0.14336917562724014,0.24922118380062305,0.34225179953823165,0.13463836873003088,0.5804951119520656,0.0,0.9523809523809523,0.20860927152317882,40.0,2.0,63.0,239.0,0.3396103896103896,0.8711395101171459,0.6704918032786885,1,0,0,0,0,0.7732558139534884,0.9523809523809523,0.13157894736842105,0.23121387283236994,0.2222872184849371,0.0798760845485245,0.5391043834752444,0.0,0.9523809523809523,0.12582781456953643,40.0,2.0,38.0,264.0,0.37012987012987014,0.8924387646432375,0.6411629686304514,1
JM1,9593,2366,0,0,0,0,0.8166371312415303,1.0,0.18336286875846972,0.30990133897110644,0.0,NaN,0.5,0.0,1.0,0.0,1759.0,0.0,0.0,7834.0,0.4353338968723584,1.0,0.5646661031276415,1,0,0,0,1,0.4416762222453873,0.7322342239909039,0.2548476454293629,0.3781006898576251,0.6076358052080377,0.1949309652296461,0.6257545896569275,0.0,0.7322342239909039,0.5192749553229512,1288.0,471.0,4068.0,3766.0,0.31191885038038886,0.7627245508982036,0.7076388888888889,1,0,0,0,0,0.6550609819660169,0.8897100625355315,0.20444154147615937,0.33248353516039936,0.3561295326315284,0.10826017207100132,0.5561647070400405,0.0,0.8897100625355315,0.2226193515445494,1565.0,194.0,1744.0,6090.0,0.3879966187658495,0.9266467065868264,0.6015549076773566,1
MC1,9277,3542,0,0,0,0,0.008300097014120945,0.029411764705882353,0.15384615384615385,0.04938271604938271,0.05714090469992949,0.06434353354682591,0.5141086405242953,0.0,0.029411764705882353,0.9988055163427082,2.0,66.0,9198.0,11.0,0.48842461885940147,0.023150762281197064,1.0,0,0,0,1,1,0.0984154360245769,0.6470588235294118,0.04715969989281887,0.08791208791208792,0.7540609461190826,0.15613779932611915,0.775261413067779,0.0,0.6470588235294118,0.9034640026061461,44.0,24.0,8320.0,889.0,0.35601355166572557,0.5403726708074534,0.6816239316239316,0,0,0,0,1,0.4358089899752075,0.9705882352941176,0.016070124178232285,0.03161676646706587,0.7111793148168613,0.09132375131640649,0.7658891876872369,0.0,0.9705882352941176,0.5611901400803562,66.0,2.0,5168.0,4041.0,0.3952569169960474,0.7391304347826086,0.5825545171339563,1
MC2,127,923,0,0,0,1,0.31496062992125984,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6347607052896724,0.3044906900328587,0.6522453450164294,0.0,0.5454545454545454,0.7590361445783133,24.0,20.0,63.0,20.0,0.38244853737811485,0.47107438016528924,0.7015384615384616,0,0,0,0,0,0.44881889763779526,0.6818181818181818,0.410958904109589,0.5128205128205128,0.5647058823529412,0.1576077211384587,0.5818729463307777,0.0,0.6818181818181818,0.4819277108433735,30.0,14.0,40.0,43.0,0.3412784398699892,0.71900826446281,0.6603415559772297,1,0,0,0,0,0.4330708661417323,0.8409090909090909,0.43529411764705883,0.5736434108527132,0.5617002819345044,0.26559452285832785,0.6312979189485214,0.0,0.8409090909090909,0.42168674698795183,37.0,7.0,35.0,48.0,0.39436619718309857,0.7933884297520661,0.5925925925925926,1
PC5,17001,3257,0,0,1,1,0.2606317275454385,0.9542743538767395,0.09819967266775777,0.17807456872565383,0.8290102147738156,0.2572302850199422,0.8435452263989105,0.0,0.9542743538767395,0.7328160989210813,480.0,23.0,12090.0,4408.0,0.43997543751918944,0.9698249849124925,0.5374581939799331,1,0,0,1,1,0.04011528733603906,0.6461232604373758,0.39203860072376356,0.487987987987988,0.7754330031136365,0.48430711733611925,0.8077870514818712,0.0,0.6461232604373758,0.9694508425263668,325.0,178.0,15994.0,504.0,0.3567700337734111,0.6149668074834037,0.6604018146467919,0,0,0,1,1,0.05764366801952826,0.6441351888667992,0.288,0.398034398034398,0.7681972499994901,0.4059716886415008,0.7977919246552446,0.0,0.6441351888667992,0.9514486604436901,324.0,179.0,15697.0,801.0,0.36751611912803195,0.5497887748943875,0.6688693098384728,0
PC4,1399,2820,0,0,0,0,0.17155110793423875,0.0898876404494382,0.1702127659574468,0.1176470588235294,0.16402529261401858,0.0346150638800259,0.5130027882836872,0.0,0.0898876404494382,0.9361179361179361,16.0,162.0,1143.0,78.0,0.44893617021276594,0.15602836879432624,0.7432432432432432,0,0,0,0,1,0.3774124374553252,0.6573033707865169,0.20034246575342465,0.30708661417322836,0.6367944447051096,0.18571488964768407,0.6374149941565672,0.0,0.6573033707865169,0.6175266175266175,117.0,61.0,754.0,467.0,0.3595744680851064,0.625531914893617,0.6447368421052632,0,0,0,0,1,0.3924231593995711,0.5955056179775281,0.18181818181818182,0.27858081471747703,0.6023417271956556,0.13845478379263873,0.6024211136570687,0.0,0.5955056179775281,0.6093366093366094,106.0,72.0,744.0,477.0,0.3964539007092199,0.549645390070922,0.6160572337042926,0
PC2,1585,800,0,0,0,0,0.012618296529968454,0.0625,0.16666666666666666,0.09090909090909091,0.11762493889369383,0.09655094846970176,0.5296566284257489,0.0,0.0625,0.9968132568514978,1.0,15.0,1564.0,5.0,0.47625,0.0525,0.9130434782608695,0,0,0,0,1,0.420820189274448,1.0,0.02342606149341142,0.045779685264663805,0.7300687980574666,0.11604900908356756,0.7874442319949012,0.0,1.0,0.5748884639898024,16.0,0.0,902.0,667.0,0.35625,0.6475,0.6426799007444168,0,0,0,0,0,0.5873817034700315,1.0,0.01689545934530095,0.0332294911734164,0.5781603987313095,0.08288651299146325,0.7033142128744423,0.0,1.0,0.40662842574888464,16.0,0.0,638.0,931.0,0.3575,0.75,0.6172839506172839,1
PC1,759,2489,0,0,0,0,0.919631093544137,1.0,0.08036890645586298,0.14878048780487804,0.0,NaN,0.5,0.0,1.0,0.0,61.0,0.0,0.0,698.0,0.45038167938931295,1.0,0.549618320610687,1,0,0,0,0,0.5204216073781291,0.8688524590163934,0.12045454545454545,0.21157684630738524,0.5890467256320915,0.17316852381647224,0.6572055991357039,0.0,0.8688524590163934,0.4455587392550143,53.0,8.0,311.0,387.0,0.3724387304138208,0.7134502923976608,0.6459298477829252,1,0,0,0,1,0.46772068511198944,0.819672131147541,0.12690355329949238,0.21978021978021978,0.6266152157751266,0.17783909847619003,0.6634177274648879,0.0,0.819672131147541,0.5071633237822349,50.0,11.0,354.0,344.0,0.3808758537565287,0.6622807017543859,0.6508620689655172,0
PC3,1125,2692,0,0,0,0,0.8755555555555555,1.0,0.12444444444444444,0.22134387351778656,0.0,NaN,0.5,0.0,1.0,0.0,140.0,0.0,0.0,985.0,0.4565378900445765,1.0,0.5434621099554234,1,0,0,0,1,0.44177777777777777,0.8214285714285714,0.19591141396933562,0.31636863823933975,0.6374564412869067,0.22615368512882666,0.6711203770848441,0.0,0.8214285714285714,0.5208121827411167,115.0,25.0,513.0,472.0,0.38075780089153044,0.6794258373205742,0.6412903225806451,0,0,0,0,0,0.6071111111111112,0.7571428571428571,0.1403973509933775,0.23687150837988827,0.4703334433806537,0.06903714519844407,0.5491298042059464,0.0,0.7571428571428571,0.3411167512690355,106.0,34.0,336.0,649.0,0.4279346210995542,0.706766917293233,0.5885031303357997,1
