version,size_test,size_training,succHe_SMORBF,succZi_SMORBF,succG75_SMORBF,succG60_SMORBF,error_SMORBF,recall_SMORBF,precision_SMORBF,fscore_SMORBF,gscore_SMORBF,mcc_SMORBF,auc_SMORBF,aucec_SMORBF,tpr_SMORBF,tnr_SMORBF,tp_SMORBF,fn_SMORBF,tn_SMORBF,fp_SMORBF,trainerror_SMORBF,trainrecall_SMORBF,trainprecision_SMORBF,trainsuccHe_SMORBF,succHe_SMORBFLocalEM,succZi_SMORBFLocalEM,succG75_SMORBFLocalEM,succG60_SMORBFLocalEM,error_SMORBFLocalEM,recall_SMORBFLocalEM,precision_SMORBFLocalEM,fscore_SMORBFLocalEM,gscore_SMORBFLocalEM,mcc_SMORBFLocalEM,auc_SMORBFLocalEM,aucec_SMORBFLocalEM,tpr_SMORBFLocalEM,tnr_SMORBFLocalEM,tp_SMORBFLocalEM,fn_SMORBFLocalEM,tn_SMORBFLocalEM,fp_SMORBFLocalEM,trainerror_SMORBFLocalEM,trainrecall_SMORBFLocalEM,trainprecision_SMORBFLocalEM,trainsuccHe_SMORBFLocalEM,succHe_SMORBFLocalFQ,succZi_SMORBFLocalFQ,succG75_SMORBFLocalFQ,succG60_SMORBFLocalFQ,error_SMORBFLocalFQ,recall_SMORBFLocalFQ,precision_SMORBFLocalFQ,fscore_SMORBFLocalFQ,gscore_SMORBFLocalFQ,mcc_SMORBFLocalFQ,auc_SMORBFLocalFQ,aucec_SMORBFLocalFQ,tpr_SMORBFLocalFQ,tnr_SMORBFLocalFQ,tp_SMORBFLocalFQ,fn_SMORBFLocalFQ,tn_SMORBFLocalFQ,fp_SMORBFLocalFQ,trainerror_SMORBFLocalFQ,trainrecall_SMORBFLocalFQ,trainprecision_SMORBFLocalFQ,trainsuccHe_SMORBFLocalFQ
MW1,264,6344,0,0,0,0,0.10227272727272728,0.0,0.0,0.0,0.0,NaN,0.5,0.0,0.0,1.0,0.0,27.0,237.0,0.0,0.48313366960907944,0.037515762925598994,0.9083969465648855,0,0,0,0,1,0.45454545454545453,0.7407407407407407,0.15037593984962405,0.25,0.6132542037586548,0.15996026913774708,0.6319737458977965,0.0,0.7407407407407407,0.5232067510548524,20.0,7.0,124.0,113.0,0.3316519546027743,0.6569987389659521,0.672258064516129,0,0,0,0,1,0.4583333333333333,0.7407407407407407,0.14925373134328357,0.24844720496894407,0.6103461109043543,0.15741673087867664,0.6298640412564463,0.0,0.7407407407407407,0.5189873417721519,20.0,7.0,123.0,114.0,0.34363177805800754,0.6122320302648171,0.6715076071922544,0
CM1,344,6314,0,0,0,0,0.12209302325581395,0.047619047619047616,0.5,0.08695652173913042,0.09088155104513783,0.12520041625281197,0.5204982655313781,0.0,0.047619047619047616,0.9933774834437086,2.0,40.0,300.0,2.0,0.48321191004117836,0.03706050047513462,0.9140625,0,0,0,0,0,0.5465116279069767,0.9285714285714286,0.17410714285714285,0.2932330827067669,0.5467289719626168,0.2170625816361109,0.6579943235572374,0.0,0.9285714285714286,0.38741721854304634,39.0,3.0,117.0,185.0,0.32879315806145076,0.6607538802660754,0.6748625040439987,0,0,0,0,0,0.6133720930232558,0.8333333333333334,0.14644351464435146,0.2491103202846975,0.46711153479504286,0.11221278893643477,0.5789183222958058,0.0,0.8333333333333334,0.32450331125827814,35.0,7.0,98.0,204.0,0.3604687994931897,0.6784922394678492,0.629444607699089,0
JM1,9593,2880,0,0,0,0,0.18033983112686333,0.052870949403069925,0.5923566878980892,0.09707724425887265,0.10039044200635844,0.13633342524554876,0.5223507159575983,0.0,0.052870949403069925,0.9918304825121266,93.0,1666.0,7770.0,64.0,0.471875,0.06666666666666667,0.8648648648648649,0,0,0,0,1,0.4397998540602523,0.7350767481523593,0.2562425683709869,0.3800146950771492,0.6097505748983945,0.19840264656340814,0.6280055683575174,0.0,0.7350767481523593,0.5209343885626755,1293.0,466.0,4081.0,3753.0,0.26979166666666665,0.7576388888888889,0.7182356813693219,1,0,0,0,0,0.5173564057124987,0.7896532120523024,0.23219658976930793,0.35886836326056065,0.5429568616501464,0.16242729769197986,0.60168134179332,0.0,0.7896532120523024,0.4137094715343375,1389.0,370.0,3241.0,4593.0,0.27881944444444445,0.8118055555555556,0.6872427983539094,1
MC1,9277,6174,0,0,0,0,0.007976716610973374,0.014705882352941176,0.125,0.02631578947368421,0.028985187693422267,0.040526708511153746,0.506972878194605,0.0,0.014705882352941176,0.9992398740362689,1.0,67.0,9202.0,7.0,0.4834791059280855,0.036281179138321996,0.9180327868852459,0,0,0,1,1,0.10596097876468687,0.6617647058823529,0.04477611940298507,0.08387698042870456,0.7611830577533715,0.15301427966179265,0.7787594297138988,0.0,0.6617647058823529,0.8957541535454446,45.0,23.0,8249.0,960.0,0.33138969873663754,0.6530612244897959,0.6740220661985958,0,0,0,0,1,0.15565376738169667,0.6323529411764706,0.029411764705882353,0.05620915032679739,0.7237063131206743,0.11196717117931144,0.7391322746929155,0.0,0.6323529411764706,0.8459116082093604,43.0,25.0,7790.0,1419.0,0.3561710398445092,0.6971169420149012,0.629976580796253,0
MC2,127,6174,0,0,0,0,0.3228346456692913,0.06818181818181818,1.0,0.1276595744680851,0.1276595744680851,0.21363012407435303,0.5340909090909091,0.0,0.06818181818181818,1.0,3.0,41.0,83.0,0.0,0.4834791059280855,0.036281179138321996,0.9180327868852459,0,0,0,0,0,0.4645669291338583,0.75,0.4074074074074074,0.5279999999999999,0.5398457583547559,0.16997330973694755,0.5858433734939759,0.0,0.75,0.42168674698795183,33.0,11.0,35.0,48.0,0.33138969873663754,0.6530612244897959,0.6740220661985958,0,0,0,0,0,0.4881889763779528,0.8409090909090909,0.40217391304347827,0.5441176470588235,0.48152451777829414,0.18983997511891468,0.5891292442497261,0.0,0.8409090909090909,0.3373493975903614,37.0,7.0,28.0,55.0,0.35212180110139296,0.7489471979267898,0.6230126650498518,1
PC5,17001,4602,0,0,0,0,0.028351273454502675,0.11530815109343936,0.6105263157894737,0.1939799331103679,0.20672557833276511,0.25700841424093945,0.5565327275045328,0.0,0.11530815109343936,0.9977573039156261,58.0,445.0,16461.0,37.0,0.49130812690134723,0.01912212081703607,0.9166666666666666,0,0,0,0,1,0.0438797717781307,0.610337972166998,0.35822637106184363,0.4514705882352941,0.7482443666217611,0.4468686830262448,0.7885002989699095,0.0,0.610337972166998,0.9666626257728209,307.0,196.0,15948.0,550.0,0.35853976531942633,0.5375923511516731,0.6785518376302797,0,0,0,1,1,0.07917181342273984,0.6620278330019881,0.220675944333996,0.33101391650099404,0.7730176958972185,0.3519673757038315,0.7953732327817553,0.0,0.6620278330019881,0.9287186325615227,333.0,170.0,15322.0,1176.0,0.38070404172099087,0.6883963494132985,0.6048109965635738,0
PC4,1399,4602,0,0,0,0,0.12580414581844174,0.011235955056179775,1.0,0.02222222222222222,0.02222222222222222,0.09909793975292945,0.5056179775280899,0.0,0.011235955056179775,1.0,2.0,176.0,1221.0,0.0,0.49130812690134723,0.01912212081703607,0.9166666666666666,0,0,0,0,1,0.27662616154395997,0.5730337078651685,0.2469733656174334,0.34517766497461927,0.6479083630576361,0.23255428787263294,0.6591622265779569,0.0,0.5730337078651685,0.7452907452907452,102.0,76.0,910.0,311.0,0.358974358974359,0.5319426336375489,0.6803779877709839,0,0,0,0,0,0.48463187991422446,0.5955056179775281,0.14887640449438203,0.23820224719101124,0.5457604982921438,0.06611838988866056,0.5495955608315158,0.0,0.5955056179775281,0.5036855036855037,106.0,72.0,615.0,606.0,0.3802694480660582,0.6883963494132985,0.6052732136033626,0
PC2,1585,4602,0,0,0,0,0.011987381703470032,0.0625,0.2,0.09523809523809523,0.11762937352023752,0.10686893738771883,0.5299753027405991,0.0,0.0625,0.9974506054811982,1.0,15.0,1565.0,4.0,0.49130812690134723,0.01912212081703607,0.9166666666666666,0,0,0,1,1,0.305993690851735,0.9375,0.03006012024048096,0.05825242718446602,0.7959408240616214,0.13538575929048355,0.8145116316124921,0.0,0.9375,0.691523263224984,15.0,1.0,1085.0,484.0,0.35853976531942633,0.5375923511516731,0.6785518376302797,0,0,0,0,0,0.06561514195583597,0.1875,0.031914893617021274,0.05454545454545455,0.3127490742373479,0.054807848981240026,0.5647506373486297,0.0,0.1875,0.9420012746972594,3.0,13.0,1478.0,91.0,0.3802694480660582,0.6883963494132985,0.6052732136033626,0
PC1,759,4602,0,0,0,0,0.08036890645586298,0.03278688524590164,0.5,0.061538461538461535,0.06348627200583783,0.11235006491928756,0.5149607778665038,0.0,0.03278688524590164,0.997134670487106,2.0,59.0,696.0,2.0,0.49130812690134723,0.01912212081703607,0.9166666666666666,0,0,0,0,1,0.35968379446640314,0.6885245901639344,0.14189189189189189,0.2352941176470588,0.661276595744681,0.18094305092072296,0.6623138710131993,0.0,0.6885245901639344,0.6361031518624641,42.0,19.0,444.0,254.0,0.358974358974359,0.5319426336375489,0.6803779877709839,0,0,0,0,0,0.6245059288537549,0.8360655737704918,0.09902912621359224,0.17708333333333331,0.47858517805582296,0.0997182394837805,0.5856545633895439,0.0,0.8360655737704918,0.335243553008596,51.0,10.0,234.0,464.0,0.3802694480660582,0.6883963494132985,0.6052732136033626,0
PC3,1125,4602,0,0,0,0,0.12977777777777777,0.0,0.0,0.0,0.0,-0.027606190751422444,0.4969543147208122,0.0,0.0,0.9939086294416244,0.0,140.0,979.0,6.0,0.49130812690134723,0.01912212081703607,0.9166666666666666,0,0,0,0,1,0.336,0.6928571428571428,0.22453703703703703,0.33916083916083917,0.675976305985151,0.2394129202064588,0.6763778100072516,0.0,0.6928571428571428,0.6598984771573604,97.0,43.0,650.0,335.0,0.358974358974359,0.5315080399826162,0.6805787423483584,0,0,0,0,0,0.5475555555555556,0.8214285714285714,0.16288951841359772,0.2718676122931442,0.5380116959064327,0.1511842080294353,0.6107142857142858,0.0,0.8214285714285714,0.4,115.0,25.0,394.0,591.0,0.3802694480660582,0.6883963494132985,0.6052732136033626,0
